ACT1:1
AREF_C1:1
CALC_PWR_C1:1
CALC_PWR_C2:1
CALC_PWR_D1:1
CALC_PWR_R1:1
CALC_PWR_R2:1
CON1:1
G***:2
J1:1
LED_R1:1
LED_R2:1
MUX_C1:1
MUX_C2:1
OSC_C1:1
OSC_C2:1
OSC_R1:1
PWR_C1:1
PWR_C2:1
PWR_R1:1
PWR_R2:1
RST_PU1:1
SCREW1:2
STALL1:1
TERM_R1:1
TERM_R2:1
U1:1
U2:1
U3:1
U4:1
UCAP_C1:1
VCC_C1:1
VCC_C2:1
VCC_C3:1
Y1:1
